speaker,q&a,content
Company Participants,0,"Karl-Johan Persson - CEO
Jyrki Tervonen - CFO"
Conference Call Participants,0,"Charlie Muir-Sands - Exane BNP Paribas
Adam Cochrane - Citi
Atiyyah Vawda - Avior Capital Markets
Simon Irwin - Credit Suisse
Anne Critchlow - Societe Generale
Jonathan Eley - Financial Times
Georgina Johanan - JPMorgan
Rebecca McClellan - Santander
Richard Chamberlain - RBC Capital Markets"
Operator,0,"Good afternoon ladies and gentlemen and thank you for standing by. Welcome to today's Six-Month Report for 2019 Conference Call. At this time, all participants are in a listen-only mode. There will be a presentation followed by a question-and-answer session. [Operator Instructions] I must advise you that this conference is being recorded today on Thursday, the 27th of June 2019.
I would now like to hand the conference over to your host today, CEO, Karl-Johan Persson. Please go ahead."
Karl-Johan Persson,0,"Hi everyone. Thank you for joining us today. I'm very pleased to welcome you all to this conference call about H&M group's second quarter and six-month results for 2019.
With me today is our CFO, Jyrki Tervonen; and our Head of Investor Relations, Nils Vinge. You will find the six-month report on H&M dot -- hmgroup.com, Investor Relations. And before we start the Q&A session, I will give a brief comment about the quarter and current developments.
Our transformation work continues at a fast pace and we can see clearly that we are moving in the right direction. We have continued the positive development of more full-price sales, decreased markdowns and we increased market shares. This shows above all that customers appreciate the improvements we are making in the assortment and the overall customer experience.
The third quarter has also started well. Our summer collections so far have been very well received. We estimate that the sales in June will grow 12% in local currencies compared to June last year.
And we expect cost of markdowns in relation to sales to be lower also in the third quarter by approximately 1.5 percentage unit compared with the corresponding quarter last year. And this will be the fourth consecutive quarter with decreased markdowns.
In the second quarter, sales developed well in most of our markets. Growth was strongest in markets such as the U.S., where we grew with 17%; Mexico, 25%; India, 39%; Russia, 19%; and Poland, 11% in local currencies to mention a few. We also took market share in most markets, including in the U.K. and Sweden, where we grew despite challenging market conditions.
Net sales for the group increased by 11% in Swedish kronor in the second quarter and 6% in local currencies. Our strong online growth continued with online sales increasing 27% in Swedish kronor and 20% in local currencies.
Looking at our industry, fashion retail is going through a major shift. As you all know, with competition growing increasingly intense, new players are entering the scene. Many competitors are improving while others are having a tough time, leading to increased price and markdown activities in many markets. And we also see a big shift in customer behavior and customer expectations are moving constantly higher.
To meet this shift, we have made substantial investments, and we are transforming large parts of our operations. And we see that this is having an effect already. As customer satisfaction and sales have increased, the transformation work has been further intensified.
In addition to investments in the customer offering, we have, among other things, made large investments in our tech infrastructure, AI, and logistics. These initiatives involve costs that are dampening profitability in the short term, but they will benefit the company greatly in the long-term.
As we continue our transformation, we are driving change through a number of focus areas. And these areas are to create the best customer offering for all our brands. This includes the assortment. It includes the store experience, physical stores, online experience as well and to integrate the physical stores with online channels.
We also want to make sure that we have a fast, efficient, and flexible product flow, which among other things, includes investments in the supply chain and building an AI model that is addressing the entire flow from trend detection to quantification to allocation and to price optimization.
We also want to make sure that we secure a stable and scalable infrastructure, our tech foundation. And then we want to add growth as well by expanding through our physical stores, the online stores and through external digital marketplaces.
As we are accelerating our adoption to customers' changing behavior, we lowered the number of new stores net to 130 for this year in favor of more digital investments.
Looking ahead, we see this rapid change of fashion retail continuing and so we are moving ahead at full speed with our transformation work. Many challenges and hard work remain, but we see that we are definitely on the right track.
While costs have affected profitability short term, we are convinced that our initiatives and strong customer focus will contribute to gradually improved profitability and to a positive long-term development for the H&M group.
Thank you. And now we are happy to take your questions."
Operator,1,"Thank you [Operator Instructions]
And your first question comes from the line of Charlie Muir-Sands at Exane BNP Paribas. Please go ahead, your line is now open."
Charlie Muir-Sands,1,"Good afternoon. Thank you for taking my questions. The first one relates to costs -- operating costs. You talk about them being managed tightly but obviously incurring some costs around the transformation. I wondered at what point we might anticipate expecting to see local currency cost growth begin to moderate, notwithstanding your strong sales momentum.
The second question relates to that current trading. Clearly, one month is a relatively short period of time, and we don't know how you traded through the quarter last year. And I guess you're trying to take less stock into the end-of-season sale in August. But I wondered how we should think about that 12% in light of how the rest of the year might develop.
And then my third question relates to CapEx guidance. Does the SEK10.5 billion to SEK11 billion constant currency guidance stand in light of your change of store and digital prioritization? Thank you."
Jyrki Tervonen,1,"Yes, okay. Thanks. Let's start with the CapEx guidance with the last question you had. We will remain the guidance that we have said before, SEK10.5 billion to SEK11 billion for the full year. And that's -- the reason is even though we are decreasing the opening of stores; we have shifted over the investments to the digital part of our business.
So, the guidance remains SEK10.5 billion to SEK11 billion. And OpEx, we have a good cost control within the company in our operations. But as mentioned also in the report, we are having a lot of activities. We are investing a lot.
And of course, that will also be reflected in the OpEx growth. It's -- the SG&A growth rate in local currencies was approx 7 percentage units in Q2. I think it was the same in Q1. We believe that it will gradually become better, but exactly when, it's hard to say. But for sure, all these investments we are doing, they will pay off in the long-term. So -- but exactly -- and the SG&A, it can fluctuate from quarter-to-quarter. But gradually, we believe they will improve, but exactly how and when that's a little bit difficult to say."
Karl-Johan Persson,1,"Yes. And of course, it depends on the second question as well what the selling will be. Some costs are fixed and some are variable. If we continue to sell well, cost in relation to sales will improve. We had a good start to the second half of the year. But its one month and it's very important to remember as well in the second quarter, in certain -- some big markets for us, market conditions were not favorable, connected to external factors. But in June, it has been favorable in those big markets.
So, we're getting help in June. We didn't get help in the second quarter. The underlying performance, I believe, is better this year compared to last year. And we'll see how much better and how the coming collections will be received by customers. But we are positive that we are on the right track."
Charlie Muir-Sands,1,Great. Thank you very much.
Karl-Johan Persson,1,Thank you.
Operator,1,Thank you. Your next question comes from the line of Adam Cochrane at Citi. [Operator Instructions]
Adam Cochrane,1,"Good afternoon guys. One question -- let's make it a good one. Thinking about the reduction in new stores, what exactly is it that you saw that changed your view during the period of the second quarter that maybe you haven't seen in the last or the prior 12 months, both in terms of increased closures and in terms of lower number of new store openings? And is there any geographic trend within that that you could try and shed some light on, please?"
Karl-Johan Persson,1,"Yes. First of all, I think it's important to point out that we still believe in physical stores, and we have that opportunity to expand. And there will always be physical stores around and the stores we opened are good. I mean financial business case is connected to that obviously.
We have adjusted. The adjustment is a combination of less -- fewer openings and also slightly more closures. We have decided in certain markets to hold back with new openings. We believe that in certain markets, rents are higher than they should be.
So, it's been a bit tougher in negotiations, or just not accepting certain levels that we are seeing. And so that's one reason. Another reason is that we are allocating more resources towards some of the digital initiatives that we have that we believe are really important and where we see good results."
Adam Cochrane,1,"In terms of the digital initiatives, are you happy with the online performance that you saw in the second quarter? And would you be able to talk about how you are evolving the H&M Club offer both in terms of what the consumer gets and in terms of how many countries that you're now in, please?"
Karl-Johan Persson,1,"We list some initiatives that we have. So, we have a lot of initiatives going on connected to the digital part, so to say. It's a good growth. I mean 20% in local currencies, 27% in Swedish kroner. We were expecting a little bit more. But it's also been, compared to June, where we had positive external factors a bit unfavorable in many big markets for us during the second quarter, so considering that good growth.
But then we see a lot of improvement opportunities in improving the digital stores for all our brands connected to product presentation, navigation, site speed, deliveries, payment options, logistical investments that we're doing, so a lot of important areas that we need to invest in and where we are just allocating more resources to improve further."
Adam Cochrane,1,Okay. Thank you.
Karl-Johan Persson,1,Thank you.
Operator,1,"Thank you. [Operator Instructions] And your next question comes from the line of Atiyyah Vawda at Avior Capital Markets. Please go ahead, your line is now open."
Atiyyah Vawda,1,"Good afternoon. Thank you for taking my question. I have a question specifically relating to the operating profit in the Europe and Africa reporting segment. Can you maybe just explain what caused the decline there? And if possible, can you maybe give us some color on how South Africa's profitability in revenue has progressed over the last six months?"
Jyrki Tervonen,1,"Yes, I think you're referring to the segment reporting in the report. And just to start, it doesn't reflect the underlying profit levels because it should more or less on a yearly basis; reflect should our subsidiaries not be related possibly. This is based on OECD transfer pricing and the OECD model for transfer pricing.
So, this is based on a markup model and based on a budget per country. And so it could be different timing issue if we are not meeting the budget. So, there will be sometimes timing difference. But it doesn't reflect the underlying profitability per segment. This is purely based on transfer pricing OECD model."
Karl-Johan Persson,1,"But specifically about the sales development in South Africa, we're happy with the development and we see double-digit growth in South Africa."
Atiyyah Vawda,1,"Okay. And in terms of profitability, can you maybe give us some color there?"
Karl-Johan Persson,1,"We don't want to go into details. But with that growth, we have had a good development as well."
Atiyyah Vawda,1,Okay. Thank you.
Operator,1,"Your next question comes from the line of Simon Irwin at Credit Suisse. Please go ahead, your line is now open."
Simon Irwin,1,"Good afternoon everyone. Could I just ask about your confidence that you're going to see full year EBIT in positive territory year-on-year at this -- if you're still confident that that can be achieved? And if so, kind of what some of the metrics around -- particularly around cost growth in the second half would get you there?"
Karl-Johan Persson,1,"Yes, still almost six months to go, good start to the second half. We aim for it and we have a good chance of delivering on that. So, -- but as we all know, the market is very uncertain, a lot of factors can influence that, but we have a good chance of achieving that, yes."
Simon Irwin,1,"Okay. And in terms of inventory, obviously, I note the lower markdown in your comments, about the composition of it continuing to improve. But it still keeps going up in absolute terms. And in terms of day sales, et cetera, we're still near record levels. Is there a stage when you will be able to kind of naturally trade that inventory down?"
Karl-Johan Persson,1,"I think we will see. I mean we're still not happy with the levels. It's higher than what we want it to be. But the composition has improved the last three quarters. The -- this quarter, the inventory levels increased less than sales and the composition is better. Markdowns is down. It will be down by quite a bit for our estimate is for this third quarter as well.
So, we will see gradual improvement connected to better collections and to many of the investments that we're making in connection to the transformation work. So, yes, it's heading in the right direction."
Simon Irwin,1,Okay. And you've given us obviously some -- a steer on markdown for 3Q. Could you also give us a steer on the impact of price and FX in terms of your bought-in margin for the period?
Karl-Johan Persson,1,"Yes. If you look at the external factors, especially the strong U.S. dollar, it had a big negative effect on purchases we made for the second quarter. We'll still be negative for the third quarter, roughly at the same level. Then of course, as we all know, there are other factors influencing the gross margin. But the external factors that we normally comment on will be negative and at the same level. And then as things stand now, it will be negative also for the fourth quarter but not by as much as for the third quarter."
Simon Irwin,1,That's very clear. Thank you.
Karl-Johan Persson,1,Thank you.
Operator,1,"Your next question comes from the line of Olivia Townsend at UBS. Please go ahead, your line is now open."
Unidentified Analyst,1,"Yes, good afternoon everybody. It's actually Andy here. I've got a question on your percentage of sales at full price. Now, I know of how retailers don't like generally giving this number out because it's a very sensitive figure. But in the past, some of your competitors, when they feel that they are at a low point in terms of performance, they suddenly become very happy to give us a number. Can you shed any light on what percentage of garments you do sell at full price? And if you can't do that, perhaps how far you are from your best year?"
Karl-Johan Persson,1,"Sorry, we have to be a bit boring. We won't go into those details. Well, we are improving. We see improvements in markdowns, more full-price sales for several quarters. And we are confident that that will continue in the third quarter as well. But there's still potential, I mean, to improve further. So, although we're just moving in the right direction, big improvements year-on-year, we still think there's room for more."
Unidentified Analyst,1,"All right. So when -- I mean obviously you're talking about with your Q3 guidance, that will be the fourth quarter of markdown reduction. You don't think that's a problem in terms of markdown improvement for the next one to two years?"
