,Feature Transform,model_type,C,no_of_features,CrossValDays,Confusion Matrices,AUC Scores,TN,FP,FN,TP,AUC Score,Min Leaves,Number of Neighbors,metric,weight,no_of_trees,min_leaves,Kernel
0,,Logistic Regression,100.0,5,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [91, 54]]), array([[81, 65],
       [63, 91]]), array([[ 28, 137],
       [  3, 132]]), array([[  0, 149],
       [  0, 151]]), array([[ 36, 128],
       [ 10, 126]]), array([[124,  53],
       [ 74,  49]]), array([[155,   0],
       [142,   3]]), array([[148,   0],
       [149,   3]]), array([[141,  20],
       [107,  32]]), array([[171,   0],
       [129,   0]])]","[0.5543937708565072, 0.6477050346913361, 0.6645566778900113, 0.5594470865371794, 0.6443238880918221, 0.5487575214735199, 0.7038042269187986, 0.7383979374110953, 0.6089190759193888, 0.5192438460492317]","[94, 81, 28, 0, 36, 124, 155, 148, 141, 171]","[61, 65, 137, 149, 128, 53, 0, 0, 20, 0]","[91, 63, 3, 0, 10, 74, 142, 149, 107, 129]","[54, 91, 132, 151, 126, 49, 3, 3, 32, 0]",0.6189549065838891,,,,,,,
1,,Logistic Regression,10.0,5,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [91, 54]]), array([[81, 65],
       [62, 92]]), array([[ 26, 139],
       [  2, 133]]), array([[  0, 149],
       [  0, 151]]), array([[ 36, 128],
       [ 11, 125]]), array([[124,  53],
       [ 74,  49]]), array([[155,   0],
       [141,   4]]), array([[148,   0],
       [149,   3]]), array([[143,  18],
       [107,  32]]), array([[171,   0],
       [129,   0]])]","[0.5541713014460512, 0.6478384629069561, 0.6632996632996634, 0.5569580870260901, 0.6440100430416069, 0.5495843094024161, 0.7043381535038932, 0.7382201280227596, 0.6138790830689485, 0.5241398068815449]","[94, 81, 26, 0, 36, 124, 155, 148, 143, 171]","[61, 65, 139, 149, 128, 53, 0, 0, 18, 0]","[91, 62, 2, 0, 11, 74, 141, 149, 107, 129]","[54, 92, 133, 151, 125, 49, 4, 3, 32, 0]",0.619643903859993,,,,,,,
2,,Logistic Regression,1.0,5,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [91, 54]]), array([[81, 65],
       [62, 92]]), array([[ 29, 136],
       [  4, 131]]), array([[  0, 149],
       [  0, 151]]), array([[ 39, 125],
       [ 11, 125]]), array([[127,  50],
       [ 74,  49]]), array([[155,   0],
       [142,   3]]), array([[148,   0],
       [148,   4]]), array([[143,  18],
       [107,  32]]), array([[171,   0],
       [129,   0]])]","[0.5542157953281424, 0.6477939868350827, 0.6627609427609428, 0.5525578914618428, 0.6445928981348638, 0.557209131413348, 0.7069632925472747, 0.7380423186344239, 0.6143259305598999, 0.5244571376762319]","[94, 81, 29, 0, 39, 127, 155, 148, 143, 171]","[61, 65, 136, 149, 125, 50, 0, 0, 18, 0]","[91, 62, 4, 0, 11, 74, 142, 148, 107, 129]","[54, 92, 131, 151, 125, 49, 3, 4, 32, 0]",0.6202919325352053,,,,,,,
3,,Logistic Regression,0.1,5,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[96, 59],
       [94, 51]]), array([[84, 62],
       [69, 85]]), array([[ 41, 124],
       [ 15, 120]]), array([[  0, 149],
       [  0, 151]]), array([[ 48, 116],
       [  7, 129]]), array([[141,  36],
       [ 75,  48]]), array([[155,   0],
       [140,   5]]), array([[148,   0],
       [148,   4]]), array([[135,  26],
       [105,  34]]), array([[171,   0],
       [129,   0]])]","[0.5541713014460512, 0.6469489414694894, 0.6590347923681257, 0.5352682341437397, 0.6517216642754663, 0.60879151164393, 0.7155951056729699, 0.7363975817923187, 0.6115554761160016, 0.5248198014415885]","[96, 84, 41, 0, 48, 141, 155, 148, 135, 171]","[59, 62, 124, 149, 116, 36, 0, 0, 26, 0]","[94, 69, 15, 0, 7, 75, 140, 148, 105, 129]","[51, 85, 120, 151, 129, 48, 5, 4, 34, 0]",0.6244304410369681,,,,,,,
4,,Logistic Regression,0.01,5,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[103,  52],
       [103,  42]]), array([[126,  20],
       [ 92,  62]]), array([[134,  31],
       [ 78,  57]]), array([[91, 58],
       [89, 62]]), array([[70, 94],
       [42, 94]]), array([[144,  33],
       [ 83,  40]]), array([[155,   0],
       [131,  14]]), array([[148,   0],
       [139,  13]]), array([[118,  43],
       [ 94,  45]]), array([[168,   3],
       [129,   0]])]","[0.556040044493882, 0.6449475182351896, 0.6464646464646464, 0.5282012533890396, 0.6045552367288379, 0.6357080519957742, 0.6730144605116797, 0.7284850640113798, 0.5984181598820324, 0.5273584477990843]","[103, 126, 134, 91, 70, 144, 155, 148, 118, 168]","[52, 20, 31, 58, 94, 33, 0, 0, 43, 3]","[103, 92, 78, 89, 42, 83, 131, 139, 94, 129]","[42, 62, 57, 62, 94, 40, 14, 13, 45, 0]",0.6143192883511547,,,,,,,
5,,Logistic Regression,100.0,10,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[93, 62],
       [91, 54]]), array([[84, 62],
       [79, 75]]), array([[ 22, 143],
       [  4, 131]]), array([[  0, 149],
       [  0, 151]]), array([[ 41, 123],
       [ 10, 126]]), array([[128,  49],
       [ 79,  44]]), array([[155,   0],
       [142,   3]]), array([[148,   0],
       [151,   1]]), array([[147,  14],
       [127,  12]]), array([[167,   4],
       [125,   4]])]","[0.5212903225806451, 0.5941113680839709, 0.6551739618406285, 0.5474465531801413, 0.6458034433285509, 0.5449910431307703, 0.7179977753058954, 0.7076813655761025, 0.5604808079002636, 0.524139806881545]","[93, 84, 22, 0, 41, 128, 155, 148, 147, 167]","[62, 62, 143, 149, 123, 49, 0, 0, 14, 4]","[91, 79, 4, 0, 10, 79, 142, 151, 127, 125]","[54, 75, 131, 151, 126, 44, 3, 1, 12, 4]",0.6019116447808515,,,,,,,
6,,Logistic Regression,10.0,10,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[93, 62],
       [87, 58]]), array([[81, 65],
       [63, 91]]), array([[ 30, 135],
       [  5, 130]]), array([[  0, 149],
       [  0, 151]]), array([[ 40, 124],
       [ 10, 126]]), array([[125,  52],
       [ 76,  47]]), array([[155,   0],
       [143,   2]]), array([[148,   0],
       [151,   1]]), array([[142,  19],
       [116,  23]]), array([[171,   0],
       [129,   0]])]","[0.5461624026696329, 0.6304483188044833, 0.6528843995510663, 0.547579892439664, 0.6510491391678623, 0.5462312250241147, 0.715194660734149, 0.7298186344238976, 0.598328790383842, 0.5241398068815449]","[93, 81, 30, 0, 40, 125, 155, 148, 142, 171]","[62, 65, 135, 149, 124, 52, 0, 0, 19, 0]","[87, 63, 5, 0, 10, 76, 143, 151, 116, 129]","[58, 91, 130, 151, 126, 47, 2, 1, 23, 0]",0.6141837270080257,,,,,,,
7,,Logistic Regression,1.0,10,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [88, 57]]), array([[84, 62],
       [60, 94]]), array([[ 32, 133],
       [  7, 128]]), array([[  0, 149],
       [  0, 151]]), array([[ 44, 120],
       [ 11, 125]]), array([[125,  52],
       [ 72,  51]]), array([[155,   0],
       [143,   2]]), array([[148,   0],
       [149,   3]]), array([[144,  17],
       [112,  27]]), array([[171,   0],
       [129,   0]])]","[0.5559065628476084, 0.6443693293008361, 0.6524354657687992, 0.5418907507000311, 0.6513181492109039, 0.555509622892839, 0.7178642936596218, 0.734886201991465, 0.6114661066178113, 0.5178385239584751]","[94, 84, 32, 0, 44, 125, 155, 148, 144, 171]","[61, 62, 133, 149, 120, 52, 0, 0, 17, 0]","[88, 60, 7, 0, 11, 72, 143, 149, 112, 129]","[57, 94, 128, 151, 125, 51, 2, 3, 27, 0]",0.618348500694839,,,,,,,
8,,Logistic Regression,0.1,10,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [89, 56]]), array([[86, 60],
       [65, 89]]), array([[ 41, 124],
       [ 15, 120]]), array([[  0, 149],
       [  0, 151]]), array([[ 46, 118],
       [ 13, 123]]), array([[143,  34],
       [ 74,  49]]), array([[155,   0],
       [141,   4]]), array([[148,   0],
       [148,   4]]), array([[134,  27],
       [105,  34]]), array([[171,   0],
       [129,   0]])]","[0.5604894327030033, 0.6451698985945561, 0.6511784511784512, 0.5178896839859549, 0.6506456241032998, 0.6075513297505857, 0.7246718576195773, 0.7363531294452348, 0.6082934894320569, 0.514483884128927]","[94, 86, 41, 0, 46, 143, 155, 148, 134, 171]","[61, 60, 124, 149, 118, 34, 0, 0, 27, 0]","[89, 65, 15, 0, 13, 74, 141, 148, 105, 129]","[56, 89, 120, 151, 123, 49, 4, 4, 34, 0]",0.6216726780941647,,,,,,,
9,,Logistic Regression,0.01,10,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[103,  52],
       [ 89,  56]]), array([[125,  21],
       [ 89,  65]]), array([[134,  31],
       [ 74,  61]]), array([[95, 54],
       [89, 62]]), array([[69, 95],
       [47, 89]]), array([[140,  37],
       [ 77,  46]]), array([[155,   0],
       [130,  15]]), array([[148,   0],
       [139,  13]]), array([[118,  43],
       [ 94,  45]]), array([[150,  21],
       [120,   9]])]","[0.5760622914349276, 0.6485500800569295, 0.6515824915824916, 0.4785101560069336, 0.5924946197991391, 0.6355243213449083, 0.669543937708565, 0.7283961593172119, 0.5961839224272756, 0.5042839657282742]","[103, 125, 134, 95, 69, 140, 155, 148, 118, 150]","[52, 21, 31, 54, 95, 37, 0, 0, 43, 21]","[89, 89, 74, 89, 47, 77, 130, 139, 94, 120]","[56, 65, 61, 62, 89, 46, 15, 13, 45, 9]",0.6081131945406656,,,,,,,
